row_type,point_index,amoc_sv,c_k,eke_c_k,eke_c_eps,kappaH_min,sss_offset
POINT,270,-6.9355111946189,0.3,0.05586152964858102,0.6161427613691892,1.000000000000566e-07,0.5277761856649484
POINT,231,-6.955171409925239,0.2500839273021037,0.2312988630383115,0.7617625935316632,1.000000000000566e-07,0.5311614951899308
POINT,256,-6.966142357476437,0.1696518866562569,0.1498355991024251,0.450386878462595,1.000000000000566e-07,0.5401191037796348
POINT,257,-6.967066464774109,0.07563785085735586,0.2797316719420894,1,1.000000000000566e-07,0.53895069088058
POINT,441,-7.034772886153479,0.01000000000000001,0.1330358298181378,0.01000000000000001,1.000000000000566e-07,0.5170930612851766
POINT,252,-7.048885373156279,0.2267988759070191,0.4053934051071276,0.705826026924295,1.000000000000566e-07,0.5162867359856649
POINT,245,-7.070855678112664,0.2802493468352364,0.2125711131811561,0.01703714188822125,1.000000000000566e-07,0.4985796009374248
POINT,322,-7.138874755688636,0.01000000000000001,0.4027359771180495,1,1.000000000000566e-07,0.5081357288187871
POINT,339,-7.177224066680161,0.1118717491009019,0.5,1,1.000000000000566e-07,0.5027421613014182
POINT,254,-7.210868207746522,0.1321763102990731,0.393211144039759,0.2591148144635081,1.000000000000566e-07,0.5021791837196118
POINT,317,-7.274805859720303,0.1007950150337641,0.03535771830139423,0.2916334021637068,1.000000000000566e-07,0.5063643705393384
POINT,344,-7.301556883778003,0.3,0.5,1,1.000000000000566e-07,0.476586996584944
POINT,400,-7.307351802667515,0.3,0.01000000000000001,0.01000000000000001,1.000000000000566e-07,0.4834178399941924
POINT,493,-7.317234036749676,0.3,0.01000000000000001,1,1.000000000000566e-07,0.4769536020858176
POINT,266,-7.334541917267926,0.2427000374384408,0.3148010494421958,1,1.000000000000566e-07,0.4829323643723606
POINT,251,-7.378081840706979,0.143971340998036,0.2259744105764266,0.0675428583907588,1.000000000000566e-07,0.4883915918130347
POINT,244,-7.431107250702011,0.088440859661197,0.2179682442764371,0.4769351847095236,1.000000000000566e-07,0.4870918925750605
POINT,241,-7.436098238961021,0.09844406423500995,0.2011446215713983,1,1.000000000000566e-07,0.4846266052704447
POINT,507,-7.446507774981749,0.01000000000000001,0.443126758354663,0.01000000000000001,1.000000000000566e-07,0.3232675186146952
POINT,401,-7.456400556470586,0.1614613416694503,0.5,0.01000000000000001,1.000000000000566e-07,0.3081317760450163
POINT,253,-7.492774865994431,0.2874950011893036,0.2919577277258765,0.3109073880731493,1.000000000000566e-07,0.4663285938802394
POINT,281,-7.514511798082665,0.3,0.2997795848459112,0.01000000000000001,1.000000000000566e-07,0.3885835396046373
POINT,145,-7.56295829850022,0.05051093362654507,0.407145434087604,0.4404242268967095,0.0001253383915200414,0.8242803287636334
POINT,446,-7.570756634105456,0.01000000000000001,0.5,0.5350180784997111,1.000000000000566e-07,0.4513422849327015
POINT,482,-7.580773544712635,0.01000000000000001,0.1978104900157125,0.01000000000000001,1.000000000000566e-07,0.432086628315455
POINT,494,-7.661369533652928,0.3,0.5,0.5144983184544899,1.000000000000566e-07,0.4378727025782476
POINT,159,-7.792273102660999,0.2897177261023958,0.09271706599812801,0.8806204903761792,1.000000000000566e-07,0.4246280039627925
POINT,536,-7.792881878065778,0.1333442443010209,0.01000000000000001,0.5144451399302942,1.000000000000566e-07,0.4427329545491129
POINT,413,-7.90023268710264,0.1794929094196721,0.1557658360633735,0.01000000000000001,1.000000000000566e-07,0.4249155298463878
POINT,164,-7.908751608052457,0.1635782682401957,0.09371894522327484,0.9608337774312209,1.000000000000566e-07,0.4276095542353526
